,0
0,593.16
1,593.16
2,593.16
3,593.16
4,593.16
5,593.16
6,593.16
7,593.16
8,593.16
9,593.16
10,593.16
11,593.16
12,593.16
13,593.16
14,593.16
15,593.16
16,593.16
17,593.16
18,593.16
19,593.16
20,593.16
21,593.16
22,593.16
23,593.16
24,593.114
25,593.114
26,593.114
27,593.114
28,593.114
29,593.114
30,593.114
31,593.114
32,593.114
33,593.114
34,593.114
35,593.114
36,593.114
37,593.114
38,593.114
39,593.114
40,593.114
41,593.114
42,593.114
43,593.114
44,593.114
45,593.114
46,593.114
47,593.114
48,591.5194
49,591.5194
50,591.5194
51,591.5194
52,591.5194
53,591.5194
54,591.5194
55,591.5194
56,591.5194
57,591.5194
58,591.5194
59,591.5194
60,591.5194
61,591.5194
62,591.5194
63,591.5194
64,591.5194
65,591.5194
66,591.5194
67,591.5194
68,591.5194
69,591.5194
70,591.5194
71,591.5194
72,588.7196
73,588.7196
74,588.7196
75,588.7196
76,588.7196
77,588.7196
78,588.7196
79,588.7196
80,588.7196
81,588.7196
82,588.7196
83,588.7196
84,588.7196
85,588.7196
86,588.7196
87,588.7196
88,588.7196
89,588.7196
90,588.7196
91,588.7196
92,588.7196
93,588.7196
94,588.7196
95,588.7196
96,584.5154
97,584.5154
98,584.5154
99,584.5154
100,584.5154
101,584.5154
102,584.5154
103,584.5154
104,584.5154
105,584.5154
106,584.5154
107,584.5154
108,584.5154
109,584.5154
110,584.5154
111,584.5154
112,584.5154
113,584.5154
114,584.5154
115,584.5154
116,584.5154
117,584.5154
118,584.5154
119,584.5154
120,580.3194
121,580.3194
122,580.3194
123,580.3194
124,580.3194
125,580.3194
126,580.3194
127,580.3194
128,580.3194
129,580.3194
130,580.3194
131,580.3194
132,580.3194
133,580.3194
134,580.3194
135,580.3194
136,580.3194
137,580.3194
138,580.3194
139,580.3194
140,580.3194
141,580.3194
142,580.3194
143,580.3194
144,574.4297
145,574.4297
146,574.4297
147,574.4297
148,574.4297
149,574.4297
150,574.4297
151,574.4297
152,574.4297
153,574.4297
154,574.4297
155,574.4297
156,574.4297
157,574.4297
158,574.4297
159,574.4297
160,574.4297
161,574.4297
162,574.4297
163,574.4297
164,574.4297
165,574.4297
166,574.4297
167,574.4297
168,569.6649
169,569.6649
170,569.6649
171,569.6649
172,569.6649
173,569.6649
174,569.6649
175,569.6649
176,569.6649
177,569.6649
178,569.6649
179,569.6649
180,569.6649
181,569.6649
182,569.6649
183,569.6649
184,569.6649
185,569.6649
186,569.6649
187,569.6649
188,569.6649
189,569.6649
190,569.6649
191,569.6649
192,564.8959
193,564.8959
194,564.8959
195,564.8959
196,564.8959
197,564.8959
198,564.8959
199,564.8959
200,564.8959
201,564.8959
202,564.8959
203,564.8959
204,564.8959
205,564.8959
206,564.8959
207,564.8959
208,564.8959
209,564.8959
210,564.8959
211,564.8959
212,564.8959
213,564.8959
214,564.8959
215,564.8959
216,556.9348
217,556.9348
218,556.9348
219,556.9348
220,556.9348
221,556.9348
222,556.9348
223,556.9348
224,556.9348
225,556.9348
226,556.9348
227,556.9348
228,556.9348
229,556.9348
230,556.9348
231,556.9348
232,556.9348
233,556.9348
234,556.9348
235,556.9348
236,556.9348
237,556.9348
238,556.9348
239,556.9348
240,548.9629
241,548.9629
242,548.9629
243,548.9629
244,548.9629
245,548.9629
246,548.9629
247,548.9629
248,548.9629
249,548.9629
250,548.9629
251,548.9629
252,548.9629
253,548.9629
254,548.9629
255,548.9629
256,548.9629
257,548.9629
258,548.9629
259,548.9629
260,548.9629
261,548.9629
262,548.9629
263,548.9629
264,553.5535
265,553.5535
266,553.5535
267,553.5535
268,553.5535
269,553.5535
270,553.5535
271,553.5535
272,553.5535
273,553.5535
274,553.5535
275,553.5535
276,553.5535
277,553.5535
278,553.5535
279,553.5535
280,553.5535
281,553.5535
282,553.5535
283,553.5535
284,553.5535
285,553.5535
286,553.5535
287,553.5535
288,533.0883
289,533.0883
290,533.0883
291,533.0883
292,533.0883
293,533.0883
294,533.0883
295,533.0883
296,533.0883
297,533.0883
298,533.0883
299,533.0883
300,533.0883
301,533.0883
302,533.0883
303,533.0883
304,533.0883
305,533.0883
306,533.0883
307,533.0883
308,533.0883
309,533.0883
310,533.0883
311,533.0883
312,525.3485
313,525.3485
314,525.3485
315,525.3485
316,525.3485
317,525.3485
318,525.3485
319,525.3485
320,525.3485
321,525.3485
322,525.3485
323,525.3485
324,525.3485
325,525.3485
326,525.3485
327,525.3485
328,525.3485
329,525.3485
330,525.3485
331,525.3485
332,525.3485
333,525.3485
334,525.3485
335,525.3485
336,519.2917
337,519.2917
338,519.2917
339,519.2917
340,519.2917
341,519.2917
342,519.2917
343,519.2917
344,519.2917
345,519.2917
346,519.2917
347,519.2917
348,519.2917
349,519.2917
350,519.2917
351,519.2917
352,519.2917
353,519.2917
354,519.2917
355,519.2917
356,519.2917
357,519.2917
358,519.2917
359,519.2917
360,513.6601
361,513.6601
362,513.6601
363,513.6601
364,513.6601
365,513.6601
366,513.6601
367,513.6601
368,513.6601
369,513.6601
370,513.6601
371,513.6601
372,513.6601
373,513.6601
374,513.6601
375,513.6601
376,513.6601
377,513.6601
378,513.6601
379,513.6601
380,513.6601
381,513.6601
382,513.6601
383,513.6601
384,506.5711
385,506.5711
386,506.5711
387,506.5711
388,506.5711
389,506.5711
390,506.5711
391,506.5711
392,506.5711
393,506.5711
394,506.5711
395,506.5711
396,506.5711
397,506.5711
398,506.5711
399,506.5711
400,506.5711
401,506.5711
402,506.5711
403,506.5711
404,506.5711
405,506.5711
406,506.5711
407,506.5711
408,498.9914
409,498.9914
410,498.9914
411,498.9914
412,498.9914
413,498.9914
414,498.9914
415,498.9914
416,498.9914
417,498.9914
418,498.9914
419,498.9914
420,498.9914
421,498.9914
422,498.9914
423,498.9914
424,498.9914
425,498.9914
426,498.9914
427,498.9914
428,498.9914
429,498.9914
430,498.9914
431,498.9914
432,492.1256
433,492.1256
434,492.1256
435,492.1256
436,492.1256
437,492.1256
438,492.1256
439,492.1256
440,492.1256
441,492.1256
442,492.1256
443,492.1256
444,492.1256
445,492.1256
446,492.1256
447,492.1256
448,492.1256
449,492.1256
450,492.1256
451,492.1256
452,492.1256
453,492.1256
454,492.1256
455,492.1256
456,484.9737
457,484.9737
